id,location,programming_languages,tools_and_technologies,years_experience_min,experience_level
0,North America,,"Software Development, Database Management",2,not specified
1,North America,Other,"Software Development, Other",,not specified
2,North America,"Java, Python, Shell, Ruby, Go","Cloud Computing, DevOps, Database Management, Other",3,mid
3,North America,"Java, Python, Shell, Ruby, Go","Cloud Computing, DevOps, Database Management, Other",3,mid
4,North America,,"Data Analytics, Cloud Computing, Machine Learning/Artificial Intelligence, Internet of Things (IoT),",,not specified
5,North America,,,,senior
6,North America,"Swift, Other","Human-Computer Interaction, Other, Networking, Mobile Development",,not specified
7,Asia,"JavaScript, Scala, Java, Swift, Other","Data Analytics, Database Management, Cloud Computing, Software Development, Web Development, Other",,not specified
8,North America,"Swift, Other","Human-Computer Interaction, Networking, Other",,not specified
9,North America,Other,Software Development,2,mid
10,North America,"Swift, Other",Mobile Development,,not specified
11,North America,Java,"DevOps, Database Management, Cloud Computing, Software Development, Web Development, Other",5,senior
12,North America,Other,Cloud Computing,,not specified
13,North America,,Cloud Computing,,not specified
14,Europe,C++,"Machine Learning/Artificial Intelligence, Software Development, Mobile Development",,not specified
15,North America,"Ruby, Perl, Shell, Python","DevOps, Software Development, Networking, Other",5,senior
16,North America,"Swift, Other","Software Development, Database Management, Other",3,not specified
17,Asia,"C#, Java","Data Analytics, Cloud Computing, Database Management, Other",4,mid
18,North America,,,,not specified
19,North America,"JavaScript, PHP, Java, Swift, Python, Ruby, C++, Other","Database Management, Cloud Computing, Software Development, Web Development, Other",7,senior
20,Asia,"Java, Perl, Shell, Python, Other","Cybersecurity, Software Development, Other",,not specified
21,North America,"Ruby, Python","Web Development, Other",,not specified
22,North America,,"Other, Mobile Development",,not specified
23,North America,Python,"Web Development, Software Development",,not specified
24,Asia,"JavaScript, Other, Java","Web Development, Software Development, Database Management, Other",7,senior
25,North America,"C++, Other","Software Development, Other",3,not specified
26,Europe,Other,"Other, Cybersecurity, Mobile Development",,senior
27,North America,"Python, C++","Web Development, Software Development",5,senior
28,North America,"C++, Other","Software Development, Other",2,mid
29,North America,"Go, C++, Python","DevOps, Cloud Computing, Software Development, Web Development, Networking, Other",5,senior
30,North America,"C++, C#, Other","Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",3,mid
31,North America,Python,"Web Development, Cloud Computing",5,senior
32,North America,"JavaScript, PHP, Other","Web Development, Software Development, Database Management",,not specified
33,North America,"Swift, C++, Other","Software Development, Mobile Development",3,mid
34,North America,"Other, C++, Java","Software Development, Database Management, Other",,senior
35,North America,"JavaScript, Python, C++, Other","DevOps, Database Management, Web Development, Internet of Things (IoT), Networking, Other",,not specified
36,North America,"Python, C++, Other","Data Analytics, Database Management, Cloud Computing, Machine Learning/Artificial Intelligence, Othe",3,mid
37,North America,"JavaScript, Swift, Python, Perl, C++, Other","Other, DevOps, Mobile Development",3,mid
38,North America,Other,"Cybersecurity, Software Development, Other",5,senior
39,North America,"JavaScript, Swift, Other","Web Development, Software Development, Database Management, Other",3,mid
40,North America,"JavaScript, Python, Shell, Other","Other, Software Development, Networking, Mobile Development",,not specified
41,North America,"JavaScript, PHP, Other","Web Development, Data Analytics, Database Management, Other",10,senior
42,North America,"Swift, Other","Software Development, Database Management, Other",3,mid
43,Asia,"JavaScript, TypeScript, Other","Web Development, Database Management",,not specified
44,North America,"Python, Shell, Go, C++, Other","DevOps, Cloud Computing, Software Development, Networking, Other",,not specified
45,North America,"C++, Other","Mobile Development, Other",,not specified
46,North America,"Swift, Other","Other, Mobile Development",,senior
47,North America,,"Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
48,Asia,Python,"Software Development, Networking, Other",3,mid
49,Asia,Java,"Database Management, Cloud Computing, Software Development, Web Development, Other",4,senior
50,Asia,"C++, Other","Software Development, Other",5,senior
51,North America,"Swift, Other","Mobile Development, Other",,senior
52,North America,"C++, Other","Web Development, Cybersecurity",10,senior
53,North America,"Swift, Other","Cloud Computing, Software Development, Cybersecurity",4,senior
54,North America,Other,Web Development,2,not specified
55,Asia,Other,"Software Development, Other",,not specified
56,North America,"Shell, Python, C++, Java",Networking,8,senior
57,North America,"Python, C++, Perl, Other","DevOps, Software Development, Other",3,mid
58,North America,"Other, C++, Java","Software Development, Database Management, Other",,not specified
59,North America,"Swift, Other","Software Development, Database Management, Other",3,mid
60,North America,Java,"Web Development, Data Analytics",5,senior
61,North America,"Swift, C++, Python, Other","Other, Software Development, Networking, Mobile Development",,not specified
62,North America,Python,"Data Analytics, Database Management, Other",5,senior
63,North America,Python,DevOps,,not specified
64,North America,"JavaScript, Swift, Other","Web Development, Software Development, Database Management, Other",3,mid
65,Asia,,,,not specified
66,Asia,Java,"DevOps, Database Management, Cloud Computing, Web Development, Other",,not specified
67,Asia,Java,"Web Development, Software Development, Database Management, Other",,senior
68,North America,"JavaScript, Python","AR/VR (Augmented Reality/Virtual Reality), Other",5,senior
69,North America,"Perl, Python, Go, C++, Other","Software Development, Networking, Other",8,senior
70,North America,"C++, Other","DevOps, Database Management, Software Development, Web Development, Other",3,not specified
71,North America,"C++, Other","Web Development, Software Development",2,mid
72,North America,"Perl, Shell, Python, Swift, C++, Other","Internet of Things (IoT), Software Development, Other",5,senior
73,Asia,"C++, C#","Software Development, Database Management, Other",,not specified
74,North America,"JavaScript, Python, Perl","Mobile Development, Other",5,senior
75,North America,"Swift, Other",Other,,not specified
76,North America,Java,"Web Development, Database Management, Software Development, Networking",5,senior
77,North America,Other,"Mobile Development, Other",,mid
78,North America,"Other, C++, Java","Database Management, Other",,not specified
79,North America,"Python, Shell, Perl, Ruby, Other","Software Development, Other",,not specified
80,North America,"JavaScript, PHP, Other","Web Development, Software Development, Database Management",,not specified
81,North America,,"Mobile Development, Software Development, Database Management, Other",,not specified
82,North America,Java,"Web Development, Database Management, Software Development, Networking",5,senior
83,Asia,"Python, Shell, Other, Java","Web Development, Human-Computer Interaction, Software Development, Database Management",5,mid
84,North America,Java,"Web Development, Data Analytics, Networking, Other",,senior
85,North America,"C++, Other","Software Development, Other",,not specified
86,North America,,"DevOps, Cloud Computing, Cybersecurity, Software Development, Web Development",,not specified
87,North America,"C++, Other","Cloud Computing, Software Development, Networking, Other",10,senior
88,North America,"Python, C++",Machine Learning/Artificial Intelligence,,senior
89,North America,Other,,5,senior
90,North America,"C++, Other",Other,3,not specified
91,North America,,"Networking, Other",4,mid
92,North America,"Python, Shell, Perl, Java","DevOps, Database Management, Cybersecurity, Web Development, Networking",,not specified
93,North America,"Python, Shell, Swift, C++, Other","DevOps, Software Development, Mobile Development, Other",,not specified
94,North America,"C++, Other",Software Development,,not specified
95,North America,"Python, C++","Web Development, Software Development",5,senior
96,North America,"Other, C++, Java","Software Development, Database Management, Other",,not specified
97,North America,Other,,5,senior
98,North America,"Other, Scala, Java","DevOps, Database Management, Machine Learning/Artificial Intelligence, Software Development, Web Dev",4,senior
99,North America,"Python, C++, Other",Other,3,mid
100,North America,C++,"Internet of Things (IoT), Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual",3,mid
101,North America,"Swift, Other","Other, Mobile Development",,not specified
102,North America,"Swift, Other","Mobile Development, Other",,not specified
103,North America,"Python, C++, Java","Data Analytics, Machine Learning/Artificial Intelligence, Database Management",,not specified
104,North America,,,5,senior
105,North America,JavaScript,,,not specified
106,North America,,"Other, Software Development, Mobile Development",,not specified
107,North America,"Python, Shell, Perl",Software Development,,not specified
108,North America,"JavaScript, Python, Java","Data Analytics, DevOps, Database Management, Software Development, Web Development, Other",10,senior
109,North America,Java,"Data Analytics, Other",,senior
110,North America,"Ruby, Python, Swift, JavaScript","Software Development, Other",3,not specified
111,Asia,"C++, Other","Software Development, Other",7,senior
112,North America,"Python, C++",Machine Learning/Artificial Intelligence,,not specified
113,North America,"JavaScript, Python, Swift, Ruby, C++, Other","DevOps, Other",3,mid
114,Asia,"JavaScript, TypeScript, C++",Web Development,,not specified
115,North America,"C++, Other","Web Development, Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",6,senior
116,Asia,"C++, C#","Software Development, Database Management, Other",,not specified
117,North America,"Python, Swift, Java","Other, Cloud Computing, Mobile Development",6,senior
118,North America,"Python, Shell, Perl, Ruby, C++, Other","Software Development, Other",,not specified
119,North America,"Python, Shell, Swift, C++, Other","DevOps, Software Development, Mobile Development, Other",,not specified
120,North America,Other,Software Development,,not specified
121,Asia,"Python, C++, Other","Cybersecurity, Software Development, Networking, Other",3,mid
122,North America,"C++, Other","Software Development, Networking, Other",2,mid
123,North America,C++,Internet of Things (IoT),3,mid
124,North America,"Shell, Python, C++, Java","Data Analytics, Software Development, Networking, Other",8,senior
125,North America,"Other, C++, Java","Database Management, Other",,senior
126,North America,"Python, Java","Data Analytics, Database Management",10,senior
127,North America,"C++, Other","Machine Learning/Artificial Intelligence, Software Development, AR/VR (Augmented Reality/Virtual Rea",3,mid
128,North America,,,,not specified
129,North America,,"Software Development, Other",,senior
130,Asia,"Java, Perl, Shell, Python, Other","Cybersecurity, Software Development, Other",,not specified
131,North America,"Swift, Other","Data Analytics, Machine Learning/Artificial Intelligence",,not specified
132,North America,"JavaScript, PHP, Other","Web Development, Software Development, Database Management",,not specified
133,North America,"JavaScript, Python, C++, Other","Other, Software Development, Networking, Mobile Development",,mid
134,North America,"Python, Swift, C++, Other","Software Development, Other",,not specified
135,Asia,,,,not specified
136,North America,,,,not specified
137,North America,"C++, Other",Software Development,,not specified
138,North America,C++,"Internet of Things (IoT), Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual",3,mid
139,North America,"JavaScript, Swift, Java, Other","Other, Mobile Development",,not specified
140,North America,"Python, C++, Perl, Other","Software Development, Other",,not specified
141,Asia,"Python, Other","DevOps, Software Development",3,mid
142,North America,"Swift, C++, Python, Other","Other, Software Development, Mobile Development",,not specified
143,North America,Java,"Web Development, Database Management, Other",5,senior
144,North America,"Other, Java","Web Development, Software Development, Database Management, Other",5,mid
145,North America,"C++, Other","Internet of Things (IoT), Networking, Other",5,senior
146,North America,C++,"Web Development, Software Development, Other",,not specified
147,North America,"Python, C++, Java","Web Development, Cloud Computing",5,senior
148,North America,"Other, C++, Java","Web Development, Software Development",5,senior
149,North America,"Python, Other",Other,,not specified
150,North America,Other,"Cybersecurity, Software Development, Other",,not specified
151,North America,"Swift, C++, Other","Other, Mobile Development",,not specified
152,Asia,"JavaScript, Python, Perl, Go, C++, Other","Networking, Software Development, Mobile Development, Other",3,mid
153,North America,Java,"Web Development, Other",,senior
154,North America,Other,,,not specified
155,North America,"C++, Other","Internet of Things (IoT), Networking, Other",5,senior
156,North America,Java,"Networking, Database Management, Other",,senior
157,Asia,"Python, C++, Other",,,not specified
158,North America,,,,not specified
159,North America,"JavaScript, Java, Swift, Python, Other","Other, Software Development, Mobile Development",3,mid
160,North America,Other,"Software Development, Other",,not specified
161,North America,"Python, C++","Software Development, Other",3,senior
162,North America,"C++, Other","Machine Learning/Artificial Intelligence, Software Development, Other",,senior
163,North America,Java,"Web Development, Software Development",,not specified
164,North America,"Swift, C++","Mobile Development, Other",3,mid
165,North America,"Other, Java","Database Management, Cybersecurity, Software Development, Web Development, Other",,senior
166,North America,Other,"DevOps, Software Development, Other",5,senior
167,Asia,Other,"Cloud Computing, Software Development, Other",,not specified
168,Asia,Other,"Web Development, Software Development, Other",3,mid
169,North America,"Python, R","Data Analytics, Database Management",2,mid
170,North America,Java,"Web Development, Software Development, Networking, Other",5,senior
171,North America,"C++, Other",Other,,not specified
172,North America,"C++, Other","Internet of Things (IoT), Networking, Other",3,mid
173,North America,"C++, Other","Networking, Other",,not specified
174,North America,,"Web Development, Data Analytics, Cloud Computing, Database Management",5,senior
175,North America,"Swift, Other","Web Development, Software Development, Cybersecurity",2,mid
176,North America,"JavaScript, TypeScript","Web Development, DevOps, Database Management, Other",3,mid
177,North America,"C++, Other",Software Development,6,senior
178,North America,"C++, Other","Internet of Things (IoT), Networking, Other",5,senior
179,North America,,,,not specified
180,North America,,"Software Development, Other",5,senior
181,North America,"Python, Shell, Perl, C++, Other","Software Development, Other",,not specified
182,North America,"Python, C++, Other","DevOps, Software Development, Machine Learning/Artificial Intelligence, Other",7,senior
183,North America,"Python, C++, Other","Mobile Development, Software Development, Other",3,mid
184,Asia,"Shell, Other","Other, Mobile Development",3,not specified
185,North America,"Python, C++, Perl, Other","Software Development, Other",,not specified
186,North America,"JavaScript, Python, Shell","Internet of Things (IoT), Software Development",,not specified
187,North America,"Perl, Shell, Python","Software Development, Other",3,not specified
188,North America,Java,"Web Development, Software Development",,not specified
189,North America,"Ruby, Python, PHP","Data Analytics, DevOps, Database Management, Cloud Computing, Web Development, Other",5,senior
190,North America,,"Cloud Computing, Software Development",,mid
191,North America,"JavaScript, Java, Python, Ruby, C++, Other","Web Development, Database Management",,not specified
192,North America,"Other, Java","Database Management, Cybersecurity, Software Development, Web Development, Other",,senior
193,North America,,"Networking, Other",3,not specified
194,North America,"Ruby, Python, Shell, Java",Software Development,3,mid
195,North America,Java,"Data Analytics, Database Management, Cloud Computing, Software Development, Other",5,senior
196,North America,"JavaScript, Python, Shell, Other",Software Development,,not specified
197,North America,"Python, C++",Software Development,4,mid
198,Europe,"JavaScript, PHP, Python, Perl, Ruby, Other","Web Development, Cloud Computing, Database Management, Other",3,not specified
199,Europe,"Python, C++, Swift, Other","Machine Learning/Artificial Intelligence, Software Development, DevOps, Other",,not specified
200,North America,Other,"Other, Machine Learning/Artificial Intelligence, Networking, Mobile Development",,not specified
201,North America,"Python, Scala, Java","Data Analytics, Database Management, Cloud Computing, Web Development, Other",3,mid
202,North America,"C++, Other","Software Development, Mobile Development",,not specified
203,North America,,Networking,5,senior
204,North America,"Python, Swift, Other, Java","DevOps, Database Management, Cybersecurity, Software Development, Web Development, Other",5,senior
205,North America,,"Software Development, Other",7,senior
206,North America,"C++, Other","Networking, Other",,not specified
207,North America,"C++, Other",Software Development,6,senior
208,North America,"Scala, Java, Python, Ruby, C++","Software Development, Other",4,mid
209,North America,"C++, Other",Other,,not specified
210,North America,"C++, Other","Other, Mobile Development",6,senior
211,North America,"C++, Other","Software Development, Networking, Other",3,mid
212,North America,"C++, Java","Cloud Computing, Software Development, Other",8,senior
213,North America,"Python, C++","Data Analytics, Machine Learning/Artificial Intelligence",,not specified
214,Europe,"Swift, Python, Perl, Ruby, C++, Other","Mobile Development, Software Development, Other",,not specified
215,North America,"Python, Scala, Java","Data Analytics, Cloud Computing, Database Management",,not specified
216,North America,"Perl, Java","Web Development, Software Development, Database Management, Other",,not specified
217,North America,,,5,senior
218,North America,Python,"Software Development, Other",,not specified
219,North America,Java,Web Development,,not specified
220,Asia,"Perl, Shell, Python, Go, C++, Other","Other, Software Development, Networking, Cybersecurity",8,senior
221,North America,"Swift, C++, Other","Web Development, Other",,not specified
