index,programming_languages,tools_and_technologies,soft_skills,years_experience_min,experience_level
0,[],"[""Linux/Unix"", ""Database""]","[""Problem solving"", ""Debugging"", ""Training"", ""Analytical"", ""Teamwork"", ""Process improvement"", ""Communication"", ""Organization"", ""Adaptability""]",2.0,not specified
1,"[""C"", ""ARM Assembly"", ""x86 Assembly""]","[""Intel processors"", ""EFI"", ""PCI"", ""OS X/Unix"", ""Kernal and OS Drivers"", ""hardware logic analyzers"", ""oscilloscopes""]","[""creative and critical thinking"", ""collaborative skills"", ""written and verbal communication""]",,not specified
2,"[""Java"", ""Bash"", ""Ruby"", ""Python"", ""Go""]","[""JVM"", ""Cassandra"", ""ZooKeeper"", ""Kafka"", ""source control"", ""continuous integration"", ""testing methods""]","[""problem solving"", ""debugging""]",3.0,mid
3,"[""Java"", ""Bash"", ""Ruby"", ""Python"", ""Go""]","[""JVM"", ""Cassandra"", ""ZooKeeper"", ""Kafka"", ""source control"", ""continuous integration""]","[""problem-solving"", ""debugging""]",3.0,mid
4,[],"[""Perception"", ""Machine Learning"", ""Sensor Systems"", ""Controls"", ""Statistical Inference"", ""High Performance Computing""]","[""Strong communication"", ""Written and verbal skills"", ""Collaboration with multi-functional teams""]",,not specified
5,[],[],[],,senior
6,"[""Objective-C"", ""Swift""]","[""iOS"", ""macOS"", ""Apple application UI guidelines"", ""Client to server network communications""]","[""Collaboration"", ""Communication"", ""Judgment and integrity"", ""Writing"", ""Interpersonal skills"", ""Adaptability"", ""Results-oriented"", ""Product ownership""]",,not specified
7,"[""Java"", ""Scala"", ""Clojure"", ""JavaScript"", ""Swift""]","[""React.js"", ""HTML5"", ""CSS3"", ""RESTful APIs"", ""Immutable.js"", ""Babel"", ""Webpack"", ""NPM"", ""Gimp"", ""Photoshop"", ""Storm"", ""Spark"", ""Flink"", ""Flume"", ""Kafka"", ""Rabbit"", ""Spring"", ""Apache commons"", ""Oracle"", ""Teradata"", ""Vertica""]","[""Problem-solving"", ""Analytical abilities"", ""Rapid learning"", ""Communication skills""]",,not specified
8,"[""Objective-C"", ""Swift""]","[""GUI applications"", ""Client to server network communications"", ""Apple application UI guidelines""]","[""Collaboration"", ""Communication"", ""Accountability"", ""Integrity"", ""Judgment"", ""Writing"", ""Interpersonal skills"", ""Adaptability"", ""Results orientation"", ""Prioritization"", ""Focus""]",,not specified
9,"[""C""]","[""drivers"", ""frameworks""]","[""debugging"", ""problem solving"", ""communication"", ""self-directed"", ""analytical"", ""teamwork""]",2.0,mid
10,"[""Swift"", ""Objective-C""]","[""Cocoa Touch""]","[""Strong communication and interpersonal skills"", ""Attention to detail""]",,not specified
11,"[""Java""]","[""Spring framework"", ""SQL"", ""NoSQL"", ""Microservices architecture"", ""Kafka"", ""REST API"", ""gRPC/Protocol Buffers"", ""Multithreading"", ""Git"", ""Test automation frameworks""]","[""Ability to express ideas clearly"", ""Collaborative""]",5.0,senior
12,"[""object oriented programming""]","[""scalable distributed systems""]","[""problem solving"", ""debugging"", ""effective communication"", ""results oriented"", ""deadline driven""]",,not specified
13,[],"[""Distributed Systems""]","[""Teamwork"", ""Problem Solving"", ""Curiosity""]",,not specified
14,"[""C++""]","[""Real-time applications"", ""Profiling and optimization"", ""Python"", ""Objective-C"", ""iOS development"", ""Computer Vision""]","[""Thoroughness"", ""Flexibility"", ""Fluency in English""]",,not specified
15,"[""Perl"", ""Python"", ""Ruby"", ""Shell scripting""]","[""BIOS/UEFI"", ""Linux command line"", ""DHCP"", ""TCP/IP networking"", ""DNS"", ""Anaconda"", ""Puppet"", ""Yum"", ""Grub"", ""Systemd"", ""IPMI"", ""Containerization"", ""Agile PLM"", ""BOMs"", ""Test automation tools""]","[""Troubleshooting methodology"", ""Time management"", ""Task prioritization"", ""Technical documentation"", ""Presentation skills""]",5.0,senior
16,"[""C"", ""Objective-C"", ""Swift""]","[""database performance work"", ""parallelism"", ""event-based programming"", ""inter-process communication""]","[""Ability to work on tight schedules""]",3.0,not specified
17,"[""Java"", ""C#""]","[""ZooKeeper"", ""Kafka"", ""Cassandra"", ""Redis"", ""Elasticsearch"", ""Hadoop"", ""Spark""]","[""Self driven"", ""Communicative"", ""Fun to work with""]",4.0,mid
18,[],[],"[""Problem-solving"", ""Aptitude for large-scale service operation""]",,not specified
19,"[""Java"", ""PHP"", ""Ruby on Rails"", ""Ember"", ""Node JS"", ""Swift"", ""Objective-C"", ""C"", ""C++"", ""Python""]","[""MVC"", ""Full stack web development"", ""databases"", ""client-server models"", ""sockets"", ""SQL"", ""postgresql"", ""MongoDB"", ""AWS"", ""Heroku"", ""Mac OS"", ""Windows"", ""Linux"", ""Git""]","[""Communication"", ""Collaboration""]",7.0,senior
20,"[""Java"", ""C"", ""Python"", ""Perl"", ""bash""]","[""Unix"", ""Linux"", ""PKI"", ""X.509"", ""ASN.1""]","[""Passionate"", ""Self-motivated"", ""Excellent verbal/written communication skills"", ""Leadership""]",,not specified
21,"[""Ruby"", ""Python""]","[""REST APIs"", ""Unix environments""]","[""Critical thinking"", ""Troubleshooting"", ""Multitasking"", ""Collaboration"", ""Communication""]",,not specified
22,[],"[""iOS"", ""macOS""]","[""Leadership"", ""Communication"", ""Teamwork""]",,not specified
23,"[""Python""]","[""Unix"", ""REST APIs""]","[""Critical thinking"", ""Troubleshooting"", ""Multitasking"", ""Collaborative skills"", ""Written and verbal communication""]",,not specified
