id,programming_languages,tools_and_technologies,years_experience_min,experience_level
0,,"Software Development, Database Management",2.0,not specified
1,Other,"Software Development, Other",,not specified
2,"Java, Python, Shell, Ruby, Go","Cloud Computing, DevOps, Database Management, Other",3.0,mid
3,"Java, Python, Shell, Ruby, Go","Cloud Computing, DevOps, Database Management, Other",3.0,mid
4,,"Data Analytics, Cloud Computing, Machine Learning/Artificial Intelligence, Internet of Things (IoT), Other",,not specified
5,,,,senior
6,"Swift, Other","Human-Computer Interaction, Other, Networking, Mobile Development",,not specified
7,"JavaScript, Scala, Java, Swift, Other","Data Analytics, Database Management, Cloud Computing, Software Development, Web Development, Other",,not specified
8,"Swift, Other","Human-Computer Interaction, Networking, Other",,not specified
9,Other,Software Development,2.0,mid
10,"Swift, Other",Mobile Development,,not specified
11,Java,"DevOps, Database Management, Cloud Computing, Software Development, Web Development, Other",5.0,senior
12,Other,Cloud Computing,,not specified
13,,Cloud Computing,,not specified
14,C++,"Machine Learning/Artificial Intelligence, Software Development, Mobile Development",,not specified
15,"Ruby, Perl, Shell, Python","DevOps, Software Development, Networking, Other",5.0,senior
16,"Swift, Other","Software Development, Database Management, Other",3.0,not specified
17,"C#, Java","Data Analytics, Cloud Computing, Database Management, Other",4.0,mid
18,,,,not specified
19,"JavaScript, PHP, Java, Swift, Python, Ruby, C++, Other","Database Management, Cloud Computing, Software Development, Web Development, Other",7.0,senior
20,"Java, Perl, Shell, Python, Other","Cybersecurity, Software Development, Other",,not specified
21,"Ruby, Python","Web Development, Other",,not specified
22,,"Other, Mobile Development",,not specified
23,Python,"Web Development, Software Development",,not specified
24,"JavaScript, Other, Java","Web Development, Software Development, Database Management, Other",7.0,senior
25,"C++, Other","Software Development, Other",3.0,not specified
26,Other,"Other, Cybersecurity, Mobile Development",,senior
27,"Python, C++","Web Development, Software Development",5.0,senior
28,"C++, Other","Software Development, Other",2.0,mid
29,"Go, C++, Python","DevOps, Cloud Computing, Software Development, Web Development, Networking, Other",5.0,senior
30,"C++, C#, Other","Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",3.0,mid
31,Python,"Web Development, Cloud Computing",5.0,senior
32,"JavaScript, PHP, Other","Web Development, Software Development, Database Management",,not specified
33,"Swift, C++, Other","Software Development, Mobile Development",3.0,mid
34,"Other, C++, Java","Software Development, Database Management, Other",,senior
35,"JavaScript, Python, C++, Other","DevOps, Database Management, Web Development, Internet of Things (IoT), Networking, Other",,not specified
36,"Python, C++, Other","Data Analytics, Database Management, Cloud Computing, Machine Learning/Artificial Intelligence, Other",3.0,mid
37,"JavaScript, Swift, Python, Perl, C++, Other","Other, DevOps, Mobile Development",3.0,mid
38,Other,"Cybersecurity, Software Development, Other",5.0,senior
