index,programming_languages,tools_and_technologies,soft_skills,years_experience_min,experience_level
0,[],"['Software Development', 'Database Management']","['Problem solving', 'Debugging', 'Training', 'Analytical', 'Teamwork', 'Process improvement', 'Communication', 'Organization', 'Adaptability']",2.0,not specified
1,['Other'],"['Software Development', 'Other']","['creative and critical thinking', 'collaborative skills', 'written and verbal communication']",,not specified
2,"['Java', 'Python', 'Shell', 'Ruby', 'Go']","['Cloud Computing', 'DevOps', 'Database Management', 'Other']","['problem solving', 'debugging']",3.0,mid
3,"['Java', 'Python', 'Shell', 'Ruby', 'Go']","['Cloud Computing', 'DevOps', 'Database Management', 'Other']","['problem-solving', 'debugging']",3.0,mid
4,[],"['Data Analytics', 'Cloud Computing', 'Machine Learning/Artificial Intelligence', 'Internet of Things (IoT)', 'Other']","['Strong communication', 'Written and verbal skills', 'Collaboration with multi-functional teams']",,not specified
5,[],[],[],,senior
6,"['Swift', 'Other']","['Human-Computer Interaction', 'Other', 'Networking', 'Mobile Development']","['Collaboration', 'Communication', 'Judgment and integrity', 'Writing', 'Interpersonal skills', 'Adaptability', 'Results-oriented', 'Product ownership']",,not specified
7,"['JavaScript', 'Scala', 'Java', 'Swift', 'Other']","['Data Analytics', 'Database Management', 'Cloud Computing', 'Software Development', 'Web Development', 'Other']","['Problem-solving', 'Analytical abilities', 'Rapid learning', 'Communication skills']",,not specified
8,"['Swift', 'Other']","['Human-Computer Interaction', 'Networking', 'Other']","['Collaboration', 'Communication', 'Accountability', 'Integrity', 'Judgment', 'Writing', 'Interpersonal skills', 'Adaptability', 'Results orientation', 'Prioritization', 'Focus']",,not specified
9,['Other'],['Software Development'],"['debugging', 'problem solving', 'communication', 'self-directed', 'analytical', 'teamwork']",2.0,mid
10,"['Swift', 'Other']",['Mobile Development'],"['Strong communication and interpersonal skills', 'Attention to detail']",,not specified
11,['Java'],"['DevOps', 'Database Management', 'Cloud Computing', 'Software Development', 'Web Development', 'Other']","['Ability to express ideas clearly', 'Collaborative']",5.0,senior
12,['Other'],['Cloud Computing'],"['problem solving', 'debugging', 'effective communication', 'results oriented', 'deadline driven']",,not specified
13,[],['Cloud Computing'],"['Teamwork', 'Problem Solving', 'Curiosity']",,not specified
14,['C++'],"['Machine Learning/Artificial Intelligence', 'Software Development', 'Mobile Development']","['Thoroughness', 'Flexibility', 'Fluency in English']",,not specified
15,"['Ruby', 'Perl', 'Shell', 'Python']","['DevOps', 'Software Development', 'Networking', 'Other']","['Troubleshooting methodology', 'Time management', 'Task prioritization', 'Technical documentation', 'Presentation skills']",5.0,senior
16,"['Swift', 'Other']","['Software Development', 'Database Management', 'Other']",['Ability to work on tight schedules'],3.0,not specified
17,"['C#', 'Java']","['Data Analytics', 'Cloud Computing', 'Database Management', 'Other']","['Self driven', 'Communicative', 'Fun to work with']",4.0,mid
18,[],[],"['Problem-solving', 'Aptitude for large-scale service operation']",,not specified
19,"['JavaScript', 'PHP', 'Java', 'Swift', 'Python', 'Ruby', 'C++', 'Other']","['Database Management', 'Cloud Computing', 'Software Development', 'Web Development', 'Other']","['Communication', 'Collaboration']",7.0,senior
20,"['Java', 'Perl', 'Shell', 'Python', 'Other']","['Cybersecurity', 'Software Development', 'Other']","['Passionate', 'Self-motivated', 'Excellent verbal/written communication skills', 'Leadership']",,not specified
21,"['Ruby', 'Python']","['Web Development', 'Other']","['Critical thinking', 'Troubleshooting', 'Multitasking', 'Collaboration', 'Communication']",,not specified
22,[],"['Other', 'Mobile Development']","['Leadership', 'Communication', 'Teamwork']",,not specified
23,['Python'],"['Web Development', 'Software Development']","['Critical thinking', 'Troubleshooting', 'Multitasking', 'Collaborative skills', 'Written and verbal communication']",,not specified
24,"['JavaScript', 'Other', 'Java']","['Web Development', 'Software Development', 'Database Management', 'Other']","['Architecture design', 'Secure coding practices']",7.0,senior
25,"['C++', 'Other']","['Software Development', 'Other']","['problem solving', 'debugging']",3.0,not specified
26,['Other'],"['Other', 'Cybersecurity', 'Mobile Development']","['collaborative skills', 'written and verbal interpersonal skills', 'creative and critical thinking', 'troubleshooting skills']",,senior
27,"['Python', 'C++']","['Web Development', 'Software Development']","['Creative thinking', 'Critical thinking', 'Independent thinking', 'Troubleshooting', 'Analytical skills', 'Social skills']",5.0,senior
28,"['C++', 'Other']","['Software Development', 'Other']","['Excellent debugging skills', 'Strong verbal and written communications', 'Self-directed', 'Analytical', 'Teamwork']",2.0,mid
29,"['Go', 'C++', 'Python']","['DevOps', 'Cloud Computing', 'Software Development', 'Web Development', 'Networking', 'Other']","['Solution specification writing', 'Diagram creation', 'Documentation', 'Operating procedures', 'Test plans/reports', 'Communication', 'Collaboration', 'Adaptability', 'Results orientation', 'Positive attitude']",5.0,senior
30,"['C++', 'C#', 'Other']","['Software Development', 'AR/VR (Augmented Reality/Virtual Reality)', 'Other']","['Passion for design', 'User experience', 'Actioning user and designer feedback', 'Strong communication', 'Teamwork', 'Ability to master new applications quickly', 'Collaborative working environment', 'Attention to detail']",3.0,mid
31,['Python'],"['Web Development', 'Cloud Computing']","['Excellent communication', 'Social skills', 'Problem-solving', 'Adaptability', 'Task prioritization', 'Calmness under pressure', 'Integrity', 'Creativity', 'Focus', 'Positive attitude', 'Dedication']",5.0,senior
32,"['JavaScript', 'PHP', 'Other']","['Web Development', 'Software Development', 'Database Management']","['Strong problem solving', 'Effective communication', 'Relationship building']",,not specified
33,"['Swift', 'C++', 'Other']","['Software Development', 'Mobile Development']","['Strong communication', 'Ability to thrive in an agile environment']",3.0,mid
34,"['Other', 'C++', 'Java']","['Software Development', 'Database Management', 'Other']","['Analytical and problem solving', 'Written communication', 'Interpersonal communication', 'Independent learning', 'Leadership', 'User-focused mindset', 'Team collaboration']",,senior
35,"['JavaScript', 'Python', 'C++', 'Other']","['DevOps', 'Database Management', 'Web Development', 'Internet of Things (IoT)', 'Networking', 'Other']",[],,not specified
36,"['Python', 'C++', 'Other']","['Data Analytics', 'Database Management', 'Cloud Computing', 'Machine Learning/Artificial Intelligence', 'Other']","['Creative Thinking', 'Critical Thinking', 'Independent Thinking', 'Troubleshooting', 'Analytical Skills', 'Communication Skills']",3.0,mid
37,"['JavaScript', 'Swift', 'Python', 'Perl', 'C++', 'Other']","['Other', 'DevOps', 'Mobile Development']","['collaborative mindset', 'analytical skills', 'problem-solving', 'debugging', 'creativity', 'effective interpersonal and communication skills']",3.0,mid
38,['Other'],"['Cybersecurity', 'Software Development', 'Other']","['Excellent verbal and written communication', 'Judgment and integrity', 'Ability to make timely decisions', 'Focus and prioritization', 'Adaptability', 'Results-oriented', 'Positive attitude']",5.0,senior
39,"['JavaScript', 'Swift', 'Other']","['Web Development', 'Software Development', 'Database Management', 'Other']","['Fluent English', 'Attention to detail', 'Excellent verbal and written communication skills', 'Multitasking', 'Managing priorities', 'Willingness to learn new technologies', 'Ability to work independently']",3.0,mid
